Name,Facility Type,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Unique Identifier,Latitude,Longitude
Akron Renewable Energy Facility,Water Resource Recovery Facility,2460 AKRON PENINSULA RD,Akron,Summit County,OH,44223,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD592,41.158141,-81.56095299
ALBANY-JOSHUA STREET WPCP,Water Resource Recovery Facility,2726 Joshua Street,Albany,Dougherty County,GA,31701,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD593,31.53762299,-84.14540303
Albert Goyenetche Dairy Digester,Farm,,Buttonwillow,Kern County,CA,93206,,animal manure - cattle/dairy cow,,AD52,,
ALBERT LEA WWTP,Water Resource Recovery Facility,17424 780th Avenue,Albert Lea,Freeborn County,MN,56007,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD594,43.60586602,-93.30144697
Albert Mendes Dairy Digester,Farm,,Crows Landing,Stanislaus County,CA,95313,,animal manure - cattle/dairy cow,,AD103,,
ALBERTVILLE EASTSIDE WWTP,Water Resource Recovery Facility,901 East Mckinney,Albertville,Marshall County,AL,35951,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD595,34.27161901,-86.18939801
ALBION BORO WTP,Water Resource Recovery Facility,15 SMOCK AVENUE,Albion,Erie County,PA,16401,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD596,41.891424,-80.36469104
ALBUQUERQUE UTILITIES CORP,Water Resource Recovery Facility,100 INDUSTRIAL PARK LOOP,Rio Rancho,Sandoval County,NM,87124,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1531,35.25791299,-106.63211496
Alden WWTF,Water Resource Recovery Facility,1750 Meadow Drive,Alden,Erie County,NY,14004,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD598,42.90603993,-78.50764233
ALEXANDRIA STP,Water Resource Recovery Facility,1500 EISENHOWER AVENUE,Alexandria,Alexandria cityCounty,VA,22314,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD599,38.79848601,-77.05892802
ALGOMA WWTP,Water Resource Recovery Facility,179 Sixth St (HWY 54),Algoma,Kewaunee County,WI,54201,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD600,44.61171152,-87.44115585
ALGONA CITY OF STP,Water Resource Recovery Facility,801 West McGregor,Algona,Kossuth County,IA,50511,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD601,43.06676205,-94.24645249
ALGONQUIN WWTF,Water Resource Recovery Facility,125 Wilbrandt Street,Algonquin,McHenry County,IL,60102,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD603,42.15416599,-88.29387798
Align RNG - BF Grady Road,Farm,,Clinton,Sampson County,NC,28328,,animal manure - swine,,AD87,,
Align RNG - Milford Digesters,Farm,,Milford,Beaver County,UT,84751,,animal manure - swine,AgStar,AD273,,
ALIQUIPPA MUNI WATER AUTH,Water Resource Recovery Facility,160 HOPEWELL AVE.,Aliquippa,Beaver County,PA,15001,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD605,40.61983598,-80.24310902
ALLEGHENY VALLEY JOINT SEWAGE AUTHORITY,Water Resource Recovery Facility,2400 FREEPORT ROAD,Cheswick,Allegheny County,PA,15238,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD805,40.53185899,-79.8478227
Allen Farms,Farm,,Scipio Center,Cayuga County,NY,13147,,animal manure - cattle/dairy cow,,AD358,,
Allen Farms/Titan 64 Digester,Farm,,Oshkosh,Winnebago County,WI,54902,Yes,"animal manure - dairy cow; Fats, Oils, Greases; Process Water; Other Feedstocks",AD Data Collection Project - Farm,AD305,,
ALLENTOWN CITY WWTP,Water Resource Recovery Facility,112 UNION STREET,Allentown,Lehigh County,PA,18102,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD606,40.60190001,-75.45488698
Alliance Dairy Digester,Farm,,Trenton,Gilchrist County,FL,32693,,animal manure - cattle/dairy cow,AgStar,AD398,,
ALLIANCE WWTP & SEWERS,Water Resource Recovery Facility,12251 ROCKHILL AVE NE,Alliance,Stark County,OH,44601,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD607,40.95612699,-81.11953397
ALPENA Water Resource Recovery Facility,Water Resource Recovery Facility,210 HARBOR DRIVE,Alpena,Alpena County,MI,49707,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD608,45.06033501,-83.42779704
ALTON WWTP,Water Resource Recovery Facility,19 CHESSEN LANE,Alton,Madison County,IL,62002,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD609,38.88495919,-90.13467179
Amana Society Farms Digester,Farm,,Amana,Iowa County,IA,52203,Yes,animal manure - cattle/dairy cow; Other Feedstocks,AgStar,AD4,,
AMBASSADOR CAFFERY WWTP - Lafayette,Water Resource Recovery Facility,4112 AMBASSADOR CAFFERY PKWY,Lafayette,Lafayette ParishCounty,LA,70503,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1184,30.16389539,-92.05743427
AMBLER BORO MS4 UA,Water Resource Recovery Facility,122 EAST BUTLER AVENUE,Ambler,Montgomery County,PA,19002,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD612,40.15484001,-75.220592
AMBRIDGE STP,Water Resource Recovery Facility,OHIO RIVER BLVD,Ambridge,Beaver County,PA,15003,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD613,40.57958661,-80.22536741
American Fruits & Flavours Digester,Stand-Alone,,Los Angeles,Los Angeles County,CA,91331,Yes,Industrial Food Waste,,AD545,34.276769,-118.410468
AMITY TWP WWTP,Water Resource Recovery Facility,120 OLD PHILADELPHIA PIKE,Douglassville,Berks County,PA,19518,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD901,40.2520176,-75.72393689
AMP Americas RNG,Farm,,,Jasper County,IN,47978,,animal manure - cattle/dairy cow,,AD466,,
ANAMOSA WATER and SEWER,Water Resource Recovery Facility,1205 WALWORTH AVENUE,Anamosa,Jones County,IA,52205,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD616,42.10519602,-91.28733867
ANDERSON WWTP,Water Resource Recovery Facility,2801 GENE GUSTIN WY,Anderson,Madison County,IN,46011,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD617,40.11066298,-85.71549401
ANSON COUNTY REG. WWTP,Water Resource Recovery Facility,1360 Hollywood Road,Wadesboro,Anson County,NC,28119,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1755,34.899658,-80.00413601
ANTHONY WATER and SANITATION DIS,Water Resource Recovery Facility,1470 N. 4TH STREET,Anthony,Doña Ana County,NM,88021,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD620,32.02204097,-106.60261728
Apex Pork Digester,Farm,,Rio,Knox County,IL,61472,,animal manure - swine,AgStar,AD342,,
Appleton Wastewater Treatment Plant,Water Resource Recovery Facility,2006 E. Newberry St.,Appleton,Outagamie County,WI,54915,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Food processing industry waste, Fruit/vegetative wastes, Septage",AD Data Collection Project - WRRF,AD623,44.26258499,-88.37479897
ARCATA WWTF,Water Resource Recovery Facility,600 SOUTH G ST.,Arcata,Humboldt County,CA,95521,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD624,40.858128,-124.09051596
ARCHBOLD WTP,Water Resource Recovery Facility,515 Short Buehrer Road,Archbold,Fulton County,OH,43502,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD625,41.50600498,-84.31924496
Archer Daniels Midland,Stand-Alone,4666 Faries Parkway,Decatur,Macon County,IL,62526,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD489,39.86455999,-88.884501
Archie Elledge WWTP,Water Resource Recovery Facility,2799 Griffith Road,Winston-Salem,Forsyth County,NC,27103,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1829,36.03751598,-80.30885398
ARDMORE PWA,Water Resource Recovery Facility,1627 CITY LAKE ROAD,Ardmore,Carter County,OK,73401,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD626,34.22594602,-97.15012102
Ar-Joy Farm Digester,Farm,,Cochranville,Chester County,PA,19330,Yes,animal manure - dairy cow; food waste; Other Feedstocks,AgStar,AD89,,
ARKANSAS CITY MWWTP,Water Resource Recovery Facility,1701 South M Street,Arkansas,Cowley County,KS,67005,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD627,37.04298499,-97.02433925
Arlington East WRF - Jacksonville,Water Resource Recovery Facility,1555 Milcoe Road,Jacksonville,Duval County,FL,32225,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1131,30.34828399,-81.54209203
Art Leyendekker Dairy Digester,Farm,,Visalia,Tulare County,CA,93291,,animal manure - cattle/dairy cow,,AD432,,
ASHEBORO WWTP,Water Resource Recovery Facility,1032 Bonkemeyer Drive,Asheboro,Randolph County,NC,27317,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD629,35.767017,-79.78688999
ASHLAND WASTEWATER TREATMENT PLANT (WI),Water Resource Recovery Facility,,Ashland,Ashland County,WI,54806,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD630,46.588935,-90.87819
ASHTABULA WWTP & SEWER SYSTEM,Water Resource Recovery Facility,303 WOODLAND AVE,Ashtabula,Ashtabula County,OH,44004,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD631,41.90141301,-80.78721004
ATCHISON Waste Water Treatment Plant,Water Resource Recovery Facility,120 River Front Road,Atchison,Atchison County,KS,66002,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD634,39.53233199,-95.11471498
ATLANTIC BEACH STP,Water Resource Recovery Facility,2150 BAY BOULEVARD,Atlantic Beach,Nassau County,NY,11509,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD638,40.59160623,-73.74137745
ATTICA (V) WWTP,Water Resource Recovery Facility,PROSPECT ST,Attica,Wyoming County,NY,14011,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD639,42.86691094,-78.27834379
ATWATER WWTF,Water Resource Recovery Facility,SOUTH SIDE HWY 99,Atwater,Merced County,CA,95301,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD640,37.33642,-120.58246996
Aukeman Farms Dairy Digester,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,AgStar,AD400,,
Aurora Ridge Dairy Digester / Bluebird Renewable Energy,Farm,,Aurora,Cayuga County,NY,13026,,animal manure - cattle/dairy cow,AgStar,AD11,,
Austin Wastewater Treatment Plant,Water Resource Recovery Facility,1205 SO MAIN ST,Austin,Mower County,MN,55912,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD643,43.65457301,-92.97266002
Avalon Dairy Digester,Farm,,Wasco,Kern County,CA,93280,,animal manure - cattle/dairy cow,AgStar,AD446,,
AVON (V) WWTP,Water Resource Recovery Facility,FARMERS ROAD,Avon,Livingston County,NY,14414,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD645,42.92254462,-77.75673896
AVON LAKE WWTP & SEWERS,Water Resource Recovery Facility,33675 DURRELL AVE.,Avon Lake,Lorain County,OH,44012,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD646,41.49974755,-82.06088449
AVONDALE WWTP,Water Resource Recovery Facility,4800 S. DYSART ROAD,Avondale,Maricopa County,AZ,85323,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD647,33.40078801,-112.34471004
"Bach Digester, LLC Digester",Farm,,Dorchester,Clark County,WI,54425,Yes,animal manure - dairy cow; Food Wastes; Process Water,AgStar,AD116,,
"Bach Digester, LLC II Digester",Farm,,Dorchester,Clark County,WI,54425,,animal manure - cattle/dairy cow,AgStar,AD117,,
Back River WWTP,Water Resource Recovery Facility,8201 Eastern AVE,Baltimore,Baltimore County,MD,21224,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD651,39.293334,-76.49242603
Bakersfield Wastewater Treatment Plant #2,Water Resource Recovery Facility,1700 E Planz Rd,Bakersfield,Kern County,CA,93307,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Septage",AD Data Collection Project - WRRF,AD648,35.32578901,-118.97315
Bakersfield Wastewater Treatment Plant #3,Water Resource Recovery Facility,6901 McCutchen Road,Bakersfield,Kern County,CA,93313,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Septage",AD Data Collection Project - WRRF,AD649,35.280875,-119.07928199
Baldwin Dairy Digester,Farm,,Baldwin,St. Croix County,WI,54002,Yes,animal manure - dairy cow; Process Water,AgStar,AD25,,
Ballard Hog Farm Digester,Farm,,Benson,Cache County,UT,84335,,animal manure - swine,AgStar,AD32,,
BANNING WWTP,Water Resource Recovery Facility,2242 E CHARLES ST,Banning,Riverside County,CA,92220,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD652,33.91601702,-116.85241702
Bar 20 Dairy Digester,Farm,,Kerman,Fresno County,CA,93630,,animal manure - cattle/dairy cow,AgStar,AD208,,
Barham Farms Complete Mix Digester,Farm,,Zebulon,Wake County,NC,27597,Yes,animal manure - swine; Food Wastes,AgStar,AD463,,
Barham Farms Lagoon Digester,Farm,,Zebulon,Wake County,NC,27597,Yes,animal manure - swine; Food Wastes,AgStar,AD464,,
Barre WWTF,Water Resource Recovery Facility,69 Treatment Plant Dr,Barre,Washington County,VT,05641,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD653,44.210411,-72.52144903
Bar-Way Farm Digester,Farm,,Deerfield,Franklin County,MA,01342,Yes,animal manure - dairy cow; Food Wastes,AgStar,AD111,,
BATAVIA WWTF,Water Resource Recovery Facility,400 South Shumway,Batavia,Kane County,IL,60510,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD654,41.84676698,-88.30863198
BAYOU LA BATRE UTILITIES,Water Resource Recovery Facility,13321 N WINTZELL AVE,Bayou La Batre,Mobile County,AL,36509,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD657,30.413921,-88.24493404
BC Organics Digester,Farm,,Greenleaf,Brown County,WI,54126,,animal manure - cattle/dairy cow,AgStar,AD162,,
BEALE AIR FORCE BASE,Water Resource Recovery Facility,4500 J ST.,Beale Afb,Yuba County,CA,95901,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD660,39.12449913,-121.41874202
BEAVER BORO,Water Resource Recovery Facility,469 3RD ST,Beaver,Beaver County,PA,15009,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD661,40.695837,-80.30260896
Beaver Creek Farm AD,Farm,,Coopersville,Ottawa County,MI,49404,,animal manure - cattle/dairy cow,AgStar,AD95,,
BEAVER DAM WWTP,Water Resource Recovery Facility,10 Myrtle RD,Beaver Dam,Dodge County,WI,53916,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD662,43.44445167,-88.84405752
Bedford Township WWTP,Water Resource Recovery Facility,335 Lavoy Road,Erie,Monroe County,MI,48133,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD950,41.73507315,-83.53587555
BEDFORD WWTP (PA),Water Resource Recovery Facility,EAST JOHN ST EXT,Bedford,Bedford County,PA,15522,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD665,40.01622685,-78.4964439
Belden Ag-Grid Digester,Farm,,Hatfield,Hampshire County,MA,01066,Yes,"animal manure - cattle, dairy cow; Food Processing Wastes",AgStar,AD191,,
BELLEVILLE STP #1,Water Resource Recovery Facility,450 ENVIRONMENTAL Drive,Belleville,St. Clair County,IL,62220,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD669,38.49849598,-89.97873599
Bell's Brewery,Stand-Alone,8938 Krum Avenue,Comstock,Kalamazoo County,MI,49053,Yes,Beverage & Distillery Waste,,AD485,42.284074,-85.45472303
Beloit Water Poluution Control Facility,Water Resource Recovery Facility,2301 STATELINE rd,Beloit,Rock County,WI,53511,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD673,42.49611179,-88.99991889
Belonave Dairy Digester,Farm,,Bakersfield,Kern County,CA,93301,,animal manure - cattle/dairy cow,AgStar,AD17,,
BELVIDERE WWTP,Water Resource Recovery Facility,2001 NEWBURG ROAD,Belvidere,Boone County,IL,61008,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD674,42.25496298,-88.86359703
BENICIA WWTP,Water Resource Recovery Facility,614 EAST 5TH ST,Benicia,Solano County,CA,94510,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD677,38.04530813,-122.15079895
BENSENVILLE SOUTH STP,Water Resource Recovery Facility,711 East Jefferson,Bensenville,DuPage County,IL,60106,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD678,41.94737601,-87.928398
BENTON HARBOR-ST JOSEPH,Water Resource Recovery Facility,269 ANCHORS WAY,St Joseph,Berrien County,MI,49085,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1652,42.10350799,-86.47038799
BENTON NORTHWEST WWTP,Water Resource Recovery Facility,11983 Petroff,Benton,Franklin County,IL,62812,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD679,38.01607731,-88.93685447
BERGEN CNTY UTIL AUTH WTP & SLF,Water Resource Recovery Facility,MEHRHOF RD,Little Ferry,Bergen County,NJ,07643,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1231,40.83909976,-74.03521166
BERKELEY HEIGHTS TWP WATER POLLUTION CONTROL PLANT,Water Resource Recovery Facility,29 PARK AVE,Berkeley Heights,Union County,NJ,07922,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD680,40.68179002,-74.44266304
Berlin Water & Sewer Dept,Water Resource Recovery Facility,WEST WAUSHARA ST,Berlin,Green Lake County,WI,54923,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD681,43.98340999,-88.94783499
BETHLEHEM CITY STP & SEW SYS,Water Resource Recovery Facility,144 SHIMERSVILLE ROAD,Bethlehem,Northampton County,PA,18015,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD683,40.617222,-75.33340404
Bettencourt - Rock Creek Dairy Complex Digester,Farm,,Filer,Twin Falls County,ID,83328,,animal manure - cattle/dairy cow,AgStar,AD139,,
Bettencourt Dairy B6 Farm Digester,Farm,,Jerome,Jerome County,ID,83338,,animal manure - cattle/dairy cow,AgStar,AD203,,
Bettencourt Dairy Digester II,Farm,,Jerome,Jerome County,ID,83338,,animal manure - cattle/dairy cow,AgStar,AD204,,
Big Dry Creek WWTP (Westminster),Water Resource Recovery Facility,13150 Huron Street,Westminster,Adams County,CO,80234,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1806,39.934511,-104.99638999
Big Sky West Dairy Digester,Farm,,Gooding,Gooding County,ID,83330,,animal manure - dairy cow; Agricultural Residues,AgStar,AD156,,
BILLINGS WWTP,Water Resource Recovery Facility,725 Highway 87 East,Billings,Yellowstone County,MT,59105,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD684,45.79452234,-108.48016556
BINGHAMTON-JOHNSON CITY - Vestal,Water Resource Recovery Facility,4480 OLD VESTAL ROAD,Vestal,Broome County,NY,13850,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1741,42.09616392,-75.96273468
Bio Town Ag Inc. Digester,Farm,,Reynolds,White County,IN,47980,,animal manure - cattle/dairy cow,AgStar,AD339,,
"Bio Town Ag, Inc. Digester - RNG expansion",Farm,,Reynolds,White County,IN,47980,Yes,"animal manure - cattle, swine; Food waste, Beverage processing industry waste, Crude glycerin, Fats, oils and greases (FOG), Food processing industry waste, Fruit/vegetative wastes",AD Data Collection Project - Farm,AD340,,
BioHio Research Park Digester,Stand-Alone,2772 Secrest Rd ,Wooster,Wayne County,OH,44691,Yes,"Food waste, Beverage processing industry waste, Crude glycerin, Fats, oils and greases (FOG), Food processing industry waste, Food service waste, pre & post-consumer, Fruit/vegetative wastes, Rendering wastes, Retail food waste, Source-separated commerci",AD Data Collection Project - Stand-Alone,AD580,40.78454818,-81.90886531
